"Objective","State","focus_name","Year","error","raw","rounded"
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2001",2.2,38.8,39
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2002",2,38.1,38
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.9,34.1,34
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2004",2,39.3,39
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.7,30.9,31
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.8,10.1,10
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.7,10.1,10
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2000",2.8,18.9,19
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.8,17,17
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.7,17.8,18
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.7,20.5,20
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.7,18.6,19
"                  adjusted)","Arizona","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.6,19.9,20
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.9,36.8,37
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.9,37.8,38
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.8,36.3,36
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.9,35.7,36
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.5,34.6,35
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.4,34.7,35
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.4,35.9,36
"                  adjusted)","Arkansas","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.1,34.1,34
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.9,19.9,20
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.6,19.5,19
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.6,19.7,20
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.6,21.4,21
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,20.3,20
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.3,20.5,21
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.2,21.3,21
"                  adjusted)","Arkansas","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1,21.4,21
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.9,40.6,41
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.8,37.7,38
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2000",2.1,40.6,41
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.9,35.8,36
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.9,35.1,35
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.7,37.7,38
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.8,37.3,37
"                  adjusted)","California","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.5,35.9,36
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.4,15.5,16
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.6,19.1,19
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.6,18.3,18
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.7,20.8,21
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.5,18.2,18
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.6,23.7,24
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.5,21.5,22
"                  adjusted)","California","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.3,22.2,22
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.7,41.1,41
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.7,45.4,45
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2000",3,42.7,43
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2001",2.7,39.3,39
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.9,38,38
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.8,44.3,44
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.6,38.2,38
"                  adjusted)","Colorado","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.3,39.4,39
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","1998",2,16.8,17
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2.1,16.9,17
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2000",2.3,16.6,17
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2001",2.1,16.7,17
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.4,15,15
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.3,14.7,15
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.2,15.6,16
"                  adjusted)","Colorado","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1,18.6,19
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.2,39,39
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.3,41.8,42
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.8,37,37
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.3,40.6,41
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.5,32.8,33
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.4,37.3,37
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.3,38,38
"                  adjusted)","Connecticut","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1,35.7,36
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.8,17.9,18
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.9,16.3,16
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.5,17.6,18
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1,18,18
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,20.4,20
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.3,20.9,21
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1,18.7,19
"                  adjusted)","Connecticut","19-2    Obesity in adults (age adjusted, aged 20 years","2005",0.9,20.8,21
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.4,41.5,41
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.5,32.5,33
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2000",2.5,32.8,33
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2001",2,35.9,36
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.8,32.1,32
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.8,31.4,31
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.7,29.6,30
"                  adjusted)","Delaware","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.6,32.5,32
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.8,17.1,17
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2,19.5,20
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.9,17.4,17
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.8,21.8,22
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.8,25.3,25
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.7,24.7,25
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.5,20.6,21
"                  adjusted)","Delaware","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.4,24.2,24
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","1998",3,39.7,40
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.9,38.5,39
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2000",3,40.8,41
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2001",2.8,36.8,37
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2002",2.5,35.9,36
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2003",2.5,32.5,32
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2004",2.2,35.8,36
"                  adjusted)","DistrictofColumbia","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.7,35.8,36
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","1998",2.6,21.6,22
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2.5,19.9,20
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2000",2.4,23.2,23
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2001",2.4,21.4,21
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2002",2.2,23.9,24
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2003",2.9,28.4,28
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.9,19.6,20
"                  adjusted)","DistrictofColumbia","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.6,24.6,25
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.4,39.8,40
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.5,38.9,39
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.4,40.6,41
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.4,36.3,36
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.2,36.9,37
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.7,35,35
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.2,34.5,34
"                  adjusted)","Florida","19-1    Healthy weight in adults (age adjusted, aged 20","2005",0.9,35.3,35
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.1,16.9,17
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.1,17.4,17
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.1,17.7,18
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.2,19.3,19
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1,18.2,18
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.5,21.7,22
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.2,21.6,22
"                  adjusted)","Florida","19-2    Obesity in adults (age adjusted, aged 20 years","2005",0.8,20.4,20
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.5,39.3,39
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.6,40.1,40
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2000",2,36.1,36
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.9,35.5,35
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.7,33.8,34
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.4,34.1,34
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.6,31.4,31
"                  adjusted)","Georgia","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.2,33.7,34
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","1998",2.2,20,20
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2,18,18
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.7,21.1,21
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.7,21,21
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.6,24.9,25
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.3,24.5,25
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.5,25.1,25
"                  adjusted)","Georgia","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.1,23.8,24
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","1998",3.1,46.7,47
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","1999",3.1,50.8,51
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.8,47.9,48
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","2001",2.1,51.2,51
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.7,47.3,47
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.9,51.5,51
"                  adjusted)","Hawaii","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.4,44.1,44
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","1998",2.7,14.9,15
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2.3,11.5,11
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.6,13.2,13
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.4,12.4,12
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,14.3,14
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.1,11.4,11
"                  adjusted)","Hawaii","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.1,14.9,15
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.6,39.3,39
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.7,36,36
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.8,36.5,37
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.6,33.6,34
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.5,32.9,33
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.5,33,33
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.5,33.1,33
"                  adjusted)","Idaho","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.3,33.1,33
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.3,16.4,16
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.4,21.2,21
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.5,19.4,19
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.4,19.5,19
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,20.2,20
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.4,22.7,23
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.3,22.5,22
"                  adjusted)","Idaho","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.2,23.6,24
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.2,39.5,39
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.1,32.8,33
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.9,32.9,33
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.6,32.1,32
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.4,29.9,30
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.4,31.3,31
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.6,34.5,35
"                  adjusted)","Illinois","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.3,31.7,32
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.9,21.5,22
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.9,22.7,23
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.7,22,22
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.6,22.3,22
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.5,25.2,25
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.4,24.2,24
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.4,21.7,22
"                  adjusted)","Illinois","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.3,25.8,26
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.2,37.4,37
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","1999",3.5,36.4,36
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.9,34.8,35
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.6,30.9,31
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.3,31.3,31
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.3,32.1,32
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.2,32,32
"                  adjusted)","Indiana","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.1,28.1,28
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.9,20.5,21
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","1999",2.9,20.5,20
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.8,24.1,24
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.6,25,25
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,22.9,23
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.2,24.7,25
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.1,22,22
"                  adjusted)","Indiana","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.1,28.5,29
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.7,37.8,38
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.6,33.6,34
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.5,30.6,31
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.6,31.4,31
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.6,31.5,32
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.3,30.4,30
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.3,32,32
"                  adjusted)","Iowa","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.1,29.7,30
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.5,21.8,22
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.6,23.7,24
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.5,22.8,23
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.5,23.4,23
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.5,23.9,24
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.3,24.9,25
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.2,24.5,24
"                  adjusted)","Iowa","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.2,26.5,27
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","1998",1.6,38.4,38
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","1999",1.6,36,36
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2000",1.6,37.5,38
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.6,35.5,35
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.5,33.1,33
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.5,33.8,34
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1,33.9,34
"                  adjusted)","Kansas","19-1    Healthy weight in adults (age adjusted, aged 20","2005",0.9,33.7,34
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.3,16.7,17
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.4,19.6,20
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.4,20,20
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.4,21.6,22
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.3,20.9,21
"                  adjusted)","Kansas","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.2,19.7,20
