focus,state,year,result,male,female
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2003,19.8,19.0,19.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2004,20.2,17.0,18.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2005,16.8,16.7,16.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2006,18.9,15.9,17.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2007,17%,15%,16%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",1998,26.7,22.5,24.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",1999,27.1,24.0,25.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2000,25.5,20.8,23.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2001,27.8,22.9,25.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2002,25.1,24.5,24.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2003,25.7,18.8,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2004,28.0,21.2,24.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2005,22.3,19.5,20.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2006,23.3,20.6,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2007,18%,21%,19%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Delaware",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",1998,24.5,19.3,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",1999,21.3,20.2,20.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2000,21.6,20.2,20.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2001,24.3,17.5,20.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2002,23.5,18.1,20.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2003,25.6,19.3,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2004,24.6,17.8,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2005,22.4,18.1,20.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2006,21.0,15.1,17.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2007,19%,16%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","District of Columbia",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",1998,24.3,22.1,23.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",1999,23.0,20.5,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2000,25.2,23.9,24.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2001,26.7,20.8,23.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2002,24.2,22.0,23.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2003,27.1,23.4,25.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2004,24.1,18.8,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2005,25.4,19.7,22.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2006,24.1,19.7,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2007,22%,18%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Florida",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",1998,27.4,19.7,23.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",1999,27.5,19.4,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2000,26.0,21.0,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2001,25.2,21.9,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2002,25.7,19.9,22.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2003,24.8,19.9,22.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2004,21.5,17.7,19.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2005,23.9,19.2,21.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2006,21.7,17.5,19.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2007,21%,18%,19%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Georgia",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",1998,22.0,16.8,19.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",1999,19.8,17.7,18.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2000,22.6,16.6,19.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2001,24.4,16.8,20.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2002,25.6,16.4,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2003,20.0,14.7,17.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2004,,0.0,0.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2005,19.0,15.4,17.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2006,19.0,16.5,17.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2007,20%,15%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Hawaii",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",1998,21.6,19.1,20.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",1999,22.3,21.1,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2000,22.6,22.3,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2001,20.7,18.7,19.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2002,21.2,19.7,20.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2003,19.1,18.7,18.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2004,18.9,15.8,17.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2005,19.2,16.4,17.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2006,18.3,15.2,16.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2007,20%,17%,19%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Idaho",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",1998,25.5,21.2,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",1999,26.4,22.2,24.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2000,24.4,20.5,22.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2001,26.0,21.5,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2002,25.4,20.0,22.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2003,26.5,19.9,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2004,25.3,18.9,22.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2005,20.7,18.9,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2006,23.6,17.1,20.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2007,22%,18%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Illinois",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",1998,29.0,23.1,26.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",1999,30.6,23.8,27.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2000,27.9,26.2,27.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2001,29.4,26.2,27.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2002,29.1,26.3,27.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2003,28.2,24.4,26.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2004,26.3,23.6,25.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2005,29.1,25.6,27.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2006,25.7,22.4,24.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2007,25%,23%,24%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Indiana",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",1998,26.0,22.4,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",1999,26.6,22.0,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2000,25.9,22.4,24.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2001,24.3,21.5,22.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2002,26.1,21.3,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2003,22.6,21.9,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2004,22.7,19.9,21.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2005,21.5,20.0,20.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2006,23.0,20.7,21.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2007,21%,19%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Iowa",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",1998,22.9,20.4,21.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",1999,24.1,18.8,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2000,24.1,18.8,21.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2001,22.4,22.6,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2002,22.8,21.4,22.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2003,20.7,20.4,20.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2004,21.6,18.0,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2005,18.5,17.3,17.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2006,21.4,18.3,19.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2007,18%,17%,18%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kansas",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",1998,33.1,29.2,31.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",1999,33.6,26.6,30.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2000,32.9,28.7,30.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2001,31.5,30.8,31.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2002,34.3,31.0,32.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2003,33.5,28.8,31.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2004,28.9,26.2,27.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2005,30.1,27.5,28.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2006,28.5,29.3,28.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2007,29%,28%,29%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Kentucky",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",1998,28.0,23.5,25.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",1999,25.9,21.0,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2000,26.0,22.1,24.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2001,28.3,21.6,24.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2002,25.9,21.7,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2003,29.5,23.7,26.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2004,26.2,20.4,23.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2005,24.0,20.9,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2006,26.0,20.8,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2007,26%,19%,23%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Louisiana",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",1998,21.0,24.2,22.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",1999,27.5,19.8,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2000,24.2,24.0,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2001,26.9,21.9,24.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2002,26.8,22.4,24.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2003,23.3,24.9,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2004,22.8,20.6,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2005,22.5,20.8,21.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2006,22.6,21.2,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2007,22%,20%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maine",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",1998,23.8,20.6,22.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",1999,21.6,18.8,20.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2000,21.2,19.5,20.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2001,24.0,18.1,21.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2002,25.3,18.8,22.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2003,22.6,17.3,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2004,22.1,17.1,19.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2005,19.4,18.5,19.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2006,18.8,16.6,17.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2007,18%,16%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Maryland",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",1998,22.1,20.0,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",1999,19.4,19.8,19.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2000,19.9,20.3,20.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2001,20.2,19.4,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2002,19.9,18.4,19.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2003,19.8,19.0,19.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2004,19.4,17.7,18.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2005,18.0,18.4,18.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2006,19.2,16.9,18.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2007,18%,16%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Massachusetts",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",1998,29.7,25.4,27.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",1999,26.2,24.2,25.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2000,25.5,22.9,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2001,26.2,25.3,25.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2002,24.5,23.8,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2003,29.5,22.8,26.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2004,24.5,22.3,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2005,23.6,20.7,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2006,24.4,20.6,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2007,23%,19%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Michigan",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",1998,19.5,16.7,18.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",1999,21.5,17.6,19.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2000,20.3,19.3,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2001,24.6,20.1,22.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2002,23.7,19.6,21.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2003,21.7,20.4,21.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2004,21.5,19.8,20.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2005,20.5,19.6,20.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2006,18.0,18.4,18.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2007,18%,15%,16%
