Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.4,10.6,1,DSU,29.2,4.9,1,DSU,50.6,7.5,1,DSU,31.0,10.8,1,DSU,68.0,8.6,1,DSU,12.8,5.6,1,DSU,42.8,10.1,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,36.1,0.0,1,DSU,11.5,6.7,1,DSU,6.2,5.2,1,DSU,20.3,8.8,---,.,.
                 Hispanic or Latino,1,15%,15.0,4.0,1,DSU,24.1,7.1,1,DSU,26.7,6.0,1,31%,30.6,7.0,1,30%,29.6,4.9,1,26%,26.2,6.3,1,24%,23.9,5.3,1,DSU,30.8,7.2,1,36%,35.8,6.7,1,DSU,19.0,4.3,---,.,.
                 Not Hispanic or Latino,1,25%,25.0,1.1,1,24%,23.7,1.1,1,25%,24.9,1.1,1,24%,24.0,0.9,1,24%,24.1,1.0,1,26%,25.6,0.9,1,25%,25.1,0.9,1,25%,24.7,1.1,1,23%,23.3,1.1,1,23%,22.9,0.9,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",21%,21.0,2.2,"2,1",18%,17.7,2.0,"2,1",20%,19.5,2.1,1,20%,20.0,1.9,1,22%,21.5,2.0,1,25%,24.6,1.9,1,22%,22.4,1.7,1,19%,18.7,2.0,1,19%,19.0,1.8,1,21%,20.8,1.6,---,.,.
"                    White only, not Hispanic or Latino","2,1",27%,26.7,1.3,"2,1",26%,26.2,1.3,"2,1",26%,26.4,1.2,1,25%,25.4,1.1,1,25%,24.6,1.1,1,26%,26.2,1.1,1,26%,26.3,1.1,1,27%,26.9,1.3,1,26%,25.7,1.3,1,24%,23.5,1.0,---,.,.
              Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Female,1,23%,22.7,1.3,1,22%,21.9,1.3,1,23%,22.5,1.3,1,23%,22.9,1.1,1,22%,21.9,1.1,1,23%,23.0,1.1,1,22%,21.6,1.0,1,21%,21.1,1.1,1,21%,21.0,1.1,1,20%,20.2,0.9,---,.,.
                 Male,1,27%,27.0,1.7,1,26%,25.8,1.6,1,29%,28.5,1.8,1,26%,25.6,1.5,1,27%,27.1,1.6,1,28%,28.2,1.5,1,29%,28.6,1.5,1,29%,29.0,1.8,1,26%,26.0,1.8,1,25%,25.4,1.4,---,.,.
              Education level (persons aged 25 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Less than high school,1,41%,41.1,3.6,1,39%,39.1,3.1,1,41%,40.6,3.5,1,37%,37.3,3.0,1,36%,35.9,3.2,1,40%,40.5,3.3,1,42%,42.3,2.8,1,41%,40.9,3.5,1,38%,38.4,3.4,1,40%,40.5,2.6,---,.,.
                    Less than 9th grade,1,41%,40.9,7.9,1,38%,38.3,6.7,1,51%,51.2,8.0,1,54%,53.6,5.3,1,46%,46.4,7.2,1,26%,25.7,4.8,1,58%,58.2,4.4,1,27%,26.8,6.0,1,33%,33.3,6.6,1,38%,38.0,6.3,---,.,.
                    Grades 9 through 11,1,42%,42.1,4.1,1,40%,39.5,3.6,1,38%,38.0,3.9,1,36%,36.2,3.3,1,36%,35.9,3.5,1,42%,42.3,3.6,1,41%,41.2,3.1,1,43%,43.3,3.8,1,40%,39.6,3.8,1,41%,41.3,2.9,---,.,.
                 High school graduate,1,27%,27.1,1.9,1,25%,25.2,1.9,1,24%,24.4,2.0,1,28%,28.0,1.7,1,26%,25.5,1.7,1,27%,27.4,1.6,1,27%,26.7,1.6,1,27%,26.7,1.8,1,27%,26.8,1.9,1,25%,24.8,1.4,---,.,.
                 At least some college,1,19%,18.6,1.4,1,16%,16.3,1.4,1,20%,19.6,1.4,1,17%,17.5,1.2,1,17%,17.4,1.2,1,21%,20.6,1.2,1,19%,19.1,1.1,1,18%,18.4,1.2,1,18%,18.4,1.1,1,17%,16.9,0.9,---,.,.
                    College graduate and above,1,11%,10.6,1.6,1,12%,12.4,1.7,1,13%,13.3,1.6,1,13%,12.9,1.5,1,14%,14.0,1.6,1,13%,13.0,1.4,1,15%,14.8,1.5,1,14%,14.4,1.4,1,14%,14.1,1.4,1,11%,11.5,1.2,---,.,.
              Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,33.2,2.8,1,32%,32.4,3.4,1,36%,36.0,2.4,1,33%,33.2,2.5,1,36%,35.6,2.9,1,33%,33.4,2.7,1,28%,27.9,1.9,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,22.7,1.0,1,23%,23.0,1.0,1,23%,23.4,1.0,1,23%,23.3,1.0,1,22%,21.9,1.2,1,21%,20.6,1.1,1,21%,21.0,0.9,---,.,.
                 Persons with high-risk conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons with diabetes,1,25%,24.5,4.2,1,16%,15.6,4.0,1,24%,24.2,6.1,1,23%,23.1,5.2,1,9%,9.3,1.7,1,22%,22.2,4.1,1,19%,18.5,3.1,1,22%,21.8,4.0,1,25%,24.9,5.5,1,19%,19.2,2.7,---,.,.
                    Persons without diabetes,1,25%,25.5,1.1,1,24%,24.1,1.1,1,26%,25.6,1.2,1,25%,24.7,1.0,1,25%,25.2,1.0,1,26%,25.8,1.0,1,25%,25.2,0.9,1,25%,24.9,1.1,1,24%,23.7,1.1,1,23%,22.8,0.9,---,.,.
              Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Age Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons aged 18 to 24 years (not age adjusted),1,25%,24.7,3.5,1,29%,29.2,3.8,1,32%,32.3,3.8,1,25%,25.1,2.9,1,36%,35.5,3.9,1,29%,29.4,3.6,1,29%,29.1,3.5,1,31%,31.5,4.8,1,25%,25.0,5.1,1,29%,29.0,3.9,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),1,29%,29.5,1.9,1,29%,28.5,1.8,1,31%,30.5,2.1,1,31%,31.0,1.6,1,26%,26.2,1.6,1,28%,28.4,1.5,1,28%,28.1,1.5,1,28%,28.1,1.8,1,27%,27.2,1.8,1,25%,25.1,1.4,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),1,26%,25.5,1.9,1,22%,21.6,1.7,1,24%,24.0,1.7,1,23%,23.2,1.6,1,24%,24.3,1.5,1,28%,28.0,1.5,1,26%,26.3,1.4,1,27%,26.6,1.5,1,26%,25.9,1.4,1,25%,24.7,1.1,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,13%,12.8,1.6,1,12%,11.9,1.7,1,11%,11.1,1.8,1,9%,9.0,1.3,1,12%,12.0,1.4,1,11%,11.4,1.2,1,12%,12.1,1.2,1,10%,9.6,1.1,1,10%,9.7,1.0,1,9%,8.9,0.7,---,.,.
              STATE:Alaska,1,25%,24.6,1.3,1,26%,26.2,1.5,1,24%,23.8,1.4,1,25%,25.0,1.2,1,28%,28.2,1.4,1,25%,25.4,1.2,1,24%,24.0,1.2,1,24%,24.3,1.2,1,24%,23.6,1.3,1,21%,21.4,1.3,---,.,.
                 American Indian or Alaska Native only,"2,1",37%,36.6,3.2,"2,1",39%,38.9,3.3,"2,1",40%,39.8,3.7,1,39%,38.8,3.1,1,40%,40.0,3.1,1,43%,42.9,3.1,1,41%,41.0,3.0,1,41%,41.3,2.7,1,43%,43.3,3.9,1,37%,36.6,3.3,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,8.9,3.6,"2,1",DSU,15.6,5.1,"2,1",DSU,2.4,1.3,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,8.8,3.4,1,DSU,26.3,5.0,1,DSU,22.5,8.5,1,DSU,2.5,1.4,1,DSU,14.1,4.9,1,DSU,12.9,3.2,1,DSU,4.0,2.3,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,16.2,7.2,1,DSU,28.8,10.3,1,DSU,37.3,7.4,1,DSU,71.2,8.6,1,DSU,34.6,10.5,1,DSU,37.6,4.7,1,DSU,10.7,5.8,---,.,.
                 Black or African American only,"2,1",DSU,29.1,7.9,"2,1",38%,37.9,10.4,"2,1",DSU,13.7,4.1,1,DSU,6.7,3.3,1,DSU,32.4,7.7,1,DSU,31.4,8.3,1,DSU,42.9,8.9,1,DSU,19.9,5.2,1,DSU,18.3,6.5,1,DSU,0.7,0.7,---,.,.
                 White only,"2,1",23%,22.6,1.5,"2,1",24%,24.0,1.9,"2,1",22%,22.2,1.5,1,23%,22.9,1.4,1,24%,23.9,1.6,1,21%,20.9,1.3,1,21%,20.9,1.4,1,20%,20.5,1.4,1,19%,19.4,1.4,1,19%,19.3,1.5,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,39.0,5.8,1,45%,44.8,5.6,1,30%,29.9,5.7,1,30%,30.3,5.1,1,41%,40.6,5.9,1,40%,40.1,5.9,1,29%,28.9,5.8,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,35.8,6.2,1,50%,50.0,6.5,1,43%,43.4,7.6,1,34%,34.2,6.6,1,34%,34.0,6.3,1,46%,46.4,7.0,1,34%,34.0,7.0,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.6,4.0,1,DSU,43.1,11.0,1,DSU,11.0,5.0,1,DSU,86.9,11.5,1,DSU,37.9,0.0,1,DSU,0.0,0.0,1,DSU,47.8,12.0,---,.,.
                 Hispanic or Latino,1,22%,21.8,5.5,1,19%,18.8,4.9,1,DSU,11.9,4.0,1,21%,21.5,5.3,1,36%,35.6,7.7,1,26%,26.1,6.0,1,16%,16.0,4.3,1,21%,21.1,5.3,1,DSU,21.3,5.2,1,DSU,21.1,6.3,---,.,.
                 Not Hispanic or Latino,1,25%,24.7,1.3,1,27%,26.6,1.6,1,25%,24.5,1.4,1,25%,24.9,1.2,1,28%,28.0,1.4,1,25%,25.4,1.2,1,24%,24.4,1.3,1,24%,24.4,1.3,1,23%,23.2,1.3,1,21%,21.5,1.3,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",DSU,28.6,7.9,"2,1",40%,39.8,11.2,"2,1",DSU,16.4,4.5,1,DSU,6.7,3.4,1,DSU,33.0,7.8,1,DSU,31.4,8.3,1,DSU,40.4,8.8,1,DSU,19.9,5.2,1,DSU,18.3,6.5,1,DSU,0.7,0.7,---,.,.
"                    White only, not Hispanic or Latino","2,1",23%,22.9,1.5,"2,1",25%,24.5,1.9,"2,1",23%,22.5,1.6,1,23%,22.6,1.4,1,24%,23.9,1.7,1,21%,20.8,1.3,1,21%,21.1,1.4,1,20%,20.4,1.4,1,19%,19.2,1.5,1,19%,19.4,1.5,---,.,.
                 Female,1,22%,21.9,1.6,1,29%,29.3,2.5,1,22%,22.2,1.8,1,25%,24.9,1.5,1,26%,25.6,1.8,1,21%,21.1,1.5,1,22%,22.2,1.5,1,21%,21.3,1.5,1,23%,22.6,1.8,1,19%,18.9,1.4,---,.,.
                 Male,1,27%,27.1,2.0,1,23%,23.2,1.7,1,25%,25.2,1.9,1,25%,25.1,1.8,1,31%,30.8,2.2,1,29%,29.2,1.8,1,26%,25.8,1.9,1,27%,27.0,1.9,1,24%,24.4,1.9,1,24%,23.8,2.1,---,.,.
                 Less than high school,1,45%,44.6,5.2,1,39%,38.6,5.2,1,51%,50.8,5.7,1,40%,40.1,3.7,1,48%,48.4,5.0,1,48%,47.5,5.3,1,41%,41.4,4.7,1,54%,53.9,3.7,1,50%,49.6,5.5,1,44%,44.0,4.7,---,.,.
                    Less than 9th grade,1,DSU,46.0,6.5,1,DSU,21.2,6.4,1,DSU,26.0,9.0,1,DSU,33.5,3.3,1,29%,29.5,6.7,1,DSU,33.4,8.4,1,DSU,18.1,5.3,1,46%,46.3,7.8,1,DSU,36.9,9.4,1,41%,40.8,4.7,---,.,.
                    Grades 9 through 11,1,54%,54.3,6.6,1,44%,44.2,6.2,1,57%,57.1,6.2,1,39%,39.1,4.2,1,53%,52.6,5.8,1,51%,51.3,5.7,1,49%,48.9,4.9,1,55%,55.0,4.3,1,51%,51.4,6.1,1,41%,40.8,4.8,---,.,.
                 High school graduate,1,33%,33.1,2.6,1,31%,31.2,3.3,1,30%,30.4,2.7,1,32%,32.2,2.4,1,38%,37.9,2.9,1,35%,34.8,2.4,1,35%,34.5,2.8,1,33%,33.3,2.3,1,31%,31.3,2.8,1,29%,28.7,2.4,---,.,.
                 At least some college,1,16%,16.5,1.5,1,19%,19.4,2.2,1,16%,16.1,1.4,1,19%,18.5,1.6,1,19%,18.6,1.8,1,19%,18.7,1.5,1,17%,17.3,1.4,1,15%,14.6,1.3,1,16%,15.8,1.4,1,16%,15.9,1.4,---,.,.
                    College graduate and above,1,11%,11.3,1.9,1,15%,15.0,2.9,1,8%,7.7,1.3,1,10%,10.4,1.7,1,12%,12.0,2.3,1,11%,11.3,1.6,1,9%,8.9,1.3,1,8%,8.3,1.4,1,12%,11.9,1.8,1,10%,9.5,1.6,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.5,3.1,,DNC,.,.,1,32%,32.0,2.9,1,31%,30.8,3.1,1,37%,37.0,3.1,1,25%,25.3,3.0,1,37%,37.3,4.4,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.9,1.3,,DNC,.,.,1,24%,23.6,1.3,1,22%,21.7,1.3,1,21%,21.2,1.3,1,23%,23.4,1.6,1,18%,18.1,1.3,---,.,.
                    Persons with diabetes,1,DSU,21.6,5.0,1,38%,37.6,7.0,1,DSU,15.3,4.7,1,36%,36.2,5.2,1,35%,35.4,6.7,1,30%,30.3,5.1,1,30%,29.6,5.4,1,15%,14.9,5.1,1,32%,32.0,8.6,1,DSU,11.9,4.0,---,.,.
                    Persons without diabetes,1,25%,24.6,1.3,1,26%,25.9,1.5,1,24%,23.6,1.4,1,25%,25.0,1.2,1,28%,28.1,1.5,1,25%,25.1,1.2,1,24%,24.0,1.3,1,24%,24.4,1.3,1,24%,23.8,1.4,1,22%,22.0,1.4,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),1,32%,32.3,4.0,1,38%,38.3,4.9,1,34%,34.1,5.3,1,36%,36.3,3.7,1,41%,41.3,4.8,1,28%,28.2,3.7,1,23%,23.4,3.6,1,32%,32.2,5.0,1,34%,33.9,5.2,1,25%,24.7,5.4,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),1,28%,28.4,1.9,1,27%,26.7,1.9,1,27%,27.2,2.0,1,29%,28.8,2.0,1,31%,30.7,2.2,1,27%,27.4,1.9,1,30%,29.9,2.1,1,28%,27.8,1.9,1,25%,25.0,2.1,1,24%,24.2,2.1,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),1,22%,22.5,2.4,1,26%,26.3,3.3,1,21%,20.9,2.4,1,21%,21.1,1.8,1,26%,26.2,2.1,1,27%,27.4,2.0,1,23%,22.8,1.8,1,22%,22.2,1.7,1,21%,21.3,2.0,1,22%,22.0,2.0,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,13%,13.2,3.0,1,16%,15.7,4.4,1,13%,13.4,2.9,1,14%,14.2,2.9,1,16%,15.7,4.0,1,15%,14.9,2.7,1,12%,12.5,3.1,1,14%,13.8,2.8,1,17%,16.5,3.2,1,11%,11.5,2.2,---,.,.
              STATE:Arizona,1,22%,22.1,1.3,1,20%,20.3,1.4,1,19%,18.8,1.6,1,22%,21.7,1.1,1,24%,23.6,1.3,1,21%,21.1,1.2,1,19%,18.8,1.1,1,20%,20.5,1.2,1,18%,18.3,1.2,1,20%,20.4,1.3,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,17.8,6.0,"2,1",DSU,10.1,5.3,"2,1",DSU,6.7,2.3,1,15%,14.9,3.6,1,15%,15.2,3.2,1,DSU,16.9,4.6,1,22%,21.8,4.1,1,DSU,11.4,3.1,1,DSU,18.9,4.3,1,16%,15.6,3.7,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,4.1,3.8,"2,1",DSU,29.0,10.7,"2,1",DSU,21.2,8.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.1,7.6,1,DSU,34.4,10.3,1,DSU,10.1,5.2,1,DSU,4.3,2.4,1,DSU,5.8,3.9,1,DSU,8.6,5.6,1,DSU,26.6,7.4,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,11.0,5.3,1,DSU,26.9,7.5,1,DSU,24.8,9.4,1,DSU,26.2,9.1,1,DSU,10.5,6.5,1,DSU,47.5,11.1,1,DSU,28.0,7.7,---,.,.
                 Black or African American only,"2,1",DSU,21.5,7.6,"2,1",DSU,15.8,4.7,"2,1",DSU,24.7,9.4,1,DSU,18.5,5.5,1,DSU,23.6,7.4,1,32%,32.1,7.6,1,DSU,18.8,5.6,1,DSU,35.9,10.2,1,28%,28.3,5.0,1,DSU,26.0,5.3,---,.,.
                 White only,"2,1",24%,23.8,1.5,"2,1",23%,23.3,1.7,"2,1",21%,20.7,1.7,1,25%,24.5,1.3,1,25%,24.9,1.5,1,22%,22.2,1.4,1,21%,20.9,1.5,1,21%,20.8,1.4,1,20%,19.7,1.6,1,20%,20.3,1.6,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,26.3,8.0,1,DSU,18.7,6.8,1,DSU,40.3,7.3,1,DSU,28.7,8.1,1,DSU,35.0,6.3,1,DSU,27.0,8.0,1,DSU,31.1,5.8,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,30.6,9.0,1,DSU,16.6,8.2,1,DSU,31.0,9.0,1,DSU,30.4,7.5,1,DSU,37.2,11.6,1,DSU,33.8,9.7,1,DSU,34.2,8.3,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,58.6,0.0,1,DSU,10.0,10.3,1,DSU,45.5,0.0,1,DSU,38.3,0.0,1,DSU,20.8,5.7,1,DSU,3.8,4.6,1,DSU,28.5,0.0,---,.,.
                 Hispanic or Latino,1,18%,18.4,2.8,1,11%,11.0,2.6,1,DSU,13.2,3.2,1,14%,13.6,1.9,1,16%,16.0,2.4,1,15%,14.7,2.4,1,12%,11.7,2.2,1,19%,19.4,2.7,1,16%,16.2,2.2,1,15%,15.3,2.2,---,.,.
                 Not Hispanic or Latino,1,23%,23.1,1.5,1,23%,23.1,1.8,1,21%,20.6,1.7,1,24%,24.2,1.2,1,25%,25.1,1.5,1,23%,22.5,1.3,1,21%,21.0,1.3,1,21%,21.1,1.4,1,20%,19.6,1.5,1,22%,21.5,1.5,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",DSU,21.9,8.0,"2,1",DSU,15.5,4.8,"2,1",DSU,25.4,9.6,1,DSU,19.7,5.8,1,DSU,23.6,7.4,1,34%,33.7,8.0,1,DSU,19.5,5.8,1,DSU,35.5,9.2,1,DSU,28.0,6.4,1,DSU,26.7,5.2,---,.,.
"                    White only, not Hispanic or Latino","2,1",24%,23.5,1.5,"2,1",24%,23.5,1.9,"2,1",21%,21.4,1.8,1,25%,25.4,1.3,1,26%,25.6,1.6,1,22%,22.2,1.4,1,21%,21.0,1.4,1,21%,21.1,1.4,1,20%,19.7,1.7,1,21%,21.0,1.7,---,.,.
                 Female,1,20%,19.8,1.7,1,17%,17.0,1.8,1,19%,19.4,2.3,1,20%,20.4,1.3,1,20%,20.4,1.4,1,18%,18.5,1.4,1,18%,18.1,1.2,1,19%,19.1,1.6,1,15%,14.7,1.2,1,17%,16.9,1.5,---,.,.
                 Male,1,25%,24.5,2.0,1,24%,23.7,2.2,1,18%,18.3,2.2,1,23%,22.9,1.6,1,27%,26.8,2.2,1,24%,23.6,1.9,1,19%,19.4,1.8,1,22%,21.8,1.8,1,22%,21.8,2.0,1,24%,23.5,2.1,---,.,.
                 Less than high school,1,21%,21.3,4.1,1,13%,12.8,3.1,1,23%,23.3,4.7,1,23%,22.6,3.7,1,38%,38.3,4.7,1,22%,22.2,3.4,1,19%,19.4,3.1,1,25%,25.2,3.6,1,24%,24.4,3.7,1,28%,28.1,4.3,---,.,.
                    Less than 9th grade,1,20%,20.4,5.5,1,DSU,1.5,0.8,1,DSU,15.3,5.9,1,DSU,19.1,5.3,1,31%,30.7,8.2,1,DSU,8.2,3.7,1,DSU,12.4,4.2,1,DSU,24.2,5.8,1,DSU,9.4,3.3,1,21%,20.7,5.3,---,.,.
                    Grades 9 through 11,1,26%,25.7,5.6,1,22%,21.6,5.4,1,28%,28.2,6.7,1,26%,26.3,4.5,1,42%,41.8,5.4,1,31%,30.8,4.4,1,25%,25.4,4.5,1,26%,25.6,4.3,1,32%,32.1,4.9,1,34%,33.9,5.6,---,.,.
                 High school graduate,1,32%,32.2,2.4,1,21%,21.5,2.5,1,26%,25.7,3.5,1,25%,25.3,2.3,1,28%,27.7,2.8,1,29%,28.7,2.9,1,23%,22.5,2.2,1,26%,25.6,2.6,1,21%,21.1,2.2,1,23%,22.8,2.4,---,.,.
                 At least some college,1,18%,17.9,1.9,1,22%,21.8,2.1,1,14%,13.7,1.5,1,18%,18.5,1.3,1,19%,19.0,1.5,1,17%,17.0,1.3,1,17%,16.6,1.3,1,17%,17.1,1.3,1,15%,14.9,1.2,1,15%,15.0,1.2,---,.,.
                    College graduate and above,1,10%,10.3,2.3,1,17%,16.8,3.2,1,11%,10.8,1.9,1,12%,11.6,1.4,1,15%,15.1,2.2,1,12%,12.0,1.5,1,10%,10.3,1.5,1,11%,11.0,1.5,1,12%,12.0,1.6,1,14%,14.1,1.8,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,28.5,2.4,1,32%,31.7,3.9,1,28%,27.6,3.2,1,29%,28.8,3.6,1,28%,27.9,3.7,1,24%,23.9,2.7,1,26%,26.1,3.0,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,19.6,1.1,1,22%,21.9,1.4,1,20%,19.8,1.3,1,17%,16.9,1.1,1,19%,18.9,1.3,1,17%,17.0,1.3,1,19%,18.6,1.4,---,.,.
                    Persons with diabetes,1,DSU,24.1,8.0,1,DSU,6.3,2.5,1,DSU,39.2,8.4,1,26%,26.4,4.9,1,21%,21.4,5.5,1,13%,12.5,3.1,1,21%,20.7,4.2,1,26%,25.9,5.5,1,19%,19.0,5.6,1,19%,18.8,4.3,---,.,.
                    Persons without diabetes,1,22%,22.3,1.3,1,21%,20.8,1.5,1,18%,17.8,1.5,1,22%,21.8,1.1,1,24%,24.1,1.3,1,21%,21.3,1.2,1,19%,19.2,1.2,1,20%,20.1,1.2,1,18%,18.2,1.2,1,20%,20.4,1.4,---,.,.
