Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.4,9.0,1,DSU,19.4,6.4,1,48%,47.5,7.5,1,DSU,30.4,8.9,1,DSU,36.0,10.7,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.7,17.8,1,DSU,16.3,9.2,1,DSU,42.8,12.2,1,DSU,39.9,15.8,1,DSU,35.5,15.1,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.4,13.5,1,DSU,6.0,6.0,1,DSU,26.8,9.2,1,DSU,38.6,13.8,1,DSU,19.3,10.2,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,44%,43.6,6.8,1,DSU,32.4,8.1,1,DSU,31.2,8.1,1,DSU,47.8,7.2,1,31%,30.6,5.4,1,36%,35.9,7.0,1,23%,23.5,4.6,1,35%,35.3,7.1,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,36%,36.0,1.2,1,35%,35.3,1.2,1,36%,35.5,1.2,1,34%,34.2,1.1,1,34%,33.5,1.1,1,33%,32.7,1.0,1,32%,31.7,1.0,1,31%,31.1,1.1,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",26%,26.2,2.4,"1,2",28%,27.7,2.5,"1,2",25%,25.4,2.3,1,26%,25.6,2.1,1,29%,28.7,2.2,1,26%,26.0,2.2,1,22%,22.0,1.8,1,23%,22.8,2.2,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",39%,38.5,1.5,"1,2",38%,37.7,1.4,"1,2",38%,37.6,1.4,1,36%,35.9,1.2,1,35%,35.3,1.2,1,34%,34.4,1.2,1,34%,34.3,1.2,1,33%,33.4,1.3,---,.,.,---,.,.,---,.,.
            Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Female,1,43%,43.4,1.5,1,40%,40.4,1.6,1,41%,40.5,1.5,1,40%,40.4,1.3,1,39%,38.8,1.3,1,38%,37.6,1.2,1,36%,35.8,1.2,1,37%,36.8,1.5,---,.,.,---,.,.,---,.,.
               Male,1,28%,28.0,1.8,1,29%,29.3,1.7,1,29%,29.2,1.8,1,28%,28.0,1.6,1,27%,27.4,1.6,1,28%,27.7,1.5,1,27%,26.7,1.5,1,25%,25.2,1.7,---,.,.,---,.,.,---,.,.
            Education level (persons aged 25 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Less than high school,1,39%,38.8,3.8,1,24%,24.4,2.5,1,33%,32.8,3.3,1,30%,30.5,2.9,1,24%,23.8,2.7,1,29%,28.8,3.0,1,29%,28.8,2.6,1,33%,33.3,3.4,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,37%,36.6,7.9,1,20%,20.3,4.3,1,36%,36.1,8.3,1,36%,35.7,9.2,1,26%,25.6,5.9,1,16%,15.7,3.2,1,21%,21.3,4.7,1,29%,29.0,7.8,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,38%,38.2,4.3,1,26%,25.8,3.0,1,33%,33.3,3.8,1,29%,28.8,3.2,1,23%,23.2,3.0,1,31%,30.8,3.4,1,30%,30.4,2.9,1,34%,34.4,3.7,---,.,.,---,.,.,---,.,.
               High school graduate,1,33%,33.2,2.0,1,36%,35.8,2.1,1,31%,31.0,2.0,1,29%,29.4,1.7,1,31%,31.0,1.8,1,26%,26.3,1.6,1,25%,24.8,1.5,1,27%,27.2,1.8,---,.,.,---,.,.,---,.,.
               At least some college,1,36%,36.3,1.8,1,33%,32.9,1.8,1,37%,36.8,1.7,1,36%,35.8,1.5,1,33%,33.0,1.4,1,35%,34.7,1.3,1,32%,32.4,1.3,1,31%,30.6,1.3,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,39%,38.8,2.7,1,39%,38.5,2.6,1,38%,38.0,2.4,1,38%,38.2,2.2,1,37%,36.7,2.0,1,40%,40.0,2.0,1,36%,36.0,1.9,1,35%,34.8,1.9,---,.,.,---,.,.,---,.,.
               Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.3,2.5,1,32%,31.7,3.3,1,27%,27.2,2.3,1,27%,26.9,2.5,1,26%,26.4,2.5,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.4,1.2,1,34%,33.6,1.1,1,35%,34.6,1.2,1,33%,32.8,1.1,1,33%,32.7,1.3,---,.,.,---,.,.,---,.,.
            Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Age Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Persons aged 20 to 39 years (not age adjusted),1,39%,39.4,2.2,1,40%,40.1,2.1,1,41%,40.6,2.1,1,43%,42.9,1.9,1,38%,37.8,1.9,1,37%,37.2,1.9,1,35%,35.2,1.8,1,34%,34.0,2.4,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,32%,32.3,1.9,1,30%,29.6,1.9,1,29%,29.4,1.8,1,27%,26.6,1.5,1,28%,28.3,1.5,1,27%,27.1,1.4,1,27%,27.0,1.3,1,27%,27.3,1.4,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,36%,36.1,2.1,1,36%,35.6,2.1,1,34%,34.3,2.1,1,32%,32.4,1.9,1,34%,33.5,1.7,1,34%,34.2,1.6,1,32%,32.2,1.5,1,33%,32.9,1.6,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,25%,24.6,2.4,1,30%,30.3,2.5,1,30%,29.5,2.0,1,25%,24.9,2.0,,DNC,.,.,1,DNC,28.2,2.4,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,38%,37.9,1.5,1,36%,36.4,1.3,1,36%,36.5,1.4,1,37%,36.7,1.3,,DNC,.,.,1,DNC,34.4,1.3,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,15%,14.6,3.9,1,13%,13.4,3.5,1,18%,18.3,5.4,1,15%,14.7,4.2,1,9%,9.3,1.5,1,15%,14.7,3.7,1,10%,10.0,2.9,1,17%,16.8,4.5,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,37%,37.3,1.3,1,36%,36.5,1.2,1,36%,36.2,1.2,1,36%,36.4,1.1,1,35%,35.0,1.1,1,35%,34.6,1.0,1,33%,33.3,1.0,1,33%,33.2,1.2,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,21%,21.4,2.1,,DNC,.,.,1,18%,18.1,1.8,,DNC,.,.,1,17%,16.9,1.5,,DNC,.,.,1,DNC,19.6,1.8,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,41%,41.4,1.5,,DNC,.,.,1,41%,41.4,1.3,,DNC,.,.,1,39%,39.3,1.3,,DNC,.,.,1,DNC,36.4,1.3,---,.,.,---,.,.,---,.,.
            STATE:Alaska,1,37%,37.5,1.6,1,36%,35.8,1.7,1,38%,37.6,1.6,1,33%,33.2,1.5,1,36%,36.5,1.5,1,36%,36.3,1.4,1,35%,34.9,1.4,1,33%,32.7,1.5,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",24%,24.4,2.6,"1,2",27%,26.7,3.3,"1,2",27%,27.4,3.4,1,30%,30.2,3.1,1,26%,26.3,3.1,1,33%,32.5,3.0,1,28%,28.1,3.0,1,34%,33.9,4.1,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,64%,64.4,8.6,1,48%,47.7,8.4,1,DSU,64.3,9.2,1,DSU,67.9,6.9,1,DSU,49.1,9.9,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.5,7.3,1,DSU,17.8,9.5,1,DSU,12.2,8.8,1,DSU,41.7,19.2,1,DSU,22.2,9.9,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",DSU,16.8,7.7,"1,2",53%,53.1,7.9,"1,2",DSU,32.2,9.0,1,DSU,26.5,9.0,1,DSU,27.8,7.3,1,DSU,28.0,7.7,1,DSU,41.8,9.2,1,DSU,20.3,7.2,---,.,.,---,.,.,---,.,.
               White only,"1,2",39%,39.4,1.9,"1,2",38%,37.6,1.9,"1,2",39%,39.1,1.8,1,33%,33.1,1.8,1,40%,39.5,1.9,1,37%,36.7,1.6,1,36%,36.1,1.7,1,33%,33.0,1.8,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,37.2,8.2,1,37%,37.1,6.4,1,31%,30.6,6.3,1,24%,23.8,6.3,1,33%,33.2,6.1,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,21.0,6.9,1,38%,37.7,7.8,1,36%,35.8,5.9,1,26%,26.0,7.5,1,36%,36.4,7.2,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,14.2,13.4,1,DSU,10.0,10.1,1,DSU,2.9,3.0,1,DSU,10.7,10.4,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,28%,27.9,5.5,1,34%,33.9,8.1,1,28%,28.4,7.6,1,38%,37.6,7.3,1,31%,30.9,7.6,1,37%,37.0,8.3,1,33%,32.6,8.4,1,33%,32.8,7.9,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,37%,37.4,1.6,1,36%,36.1,1.7,1,38%,37.9,1.6,1,33%,32.9,1.6,1,37%,36.8,1.6,1,36%,36.0,1.4,1,35%,35.3,1.4,1,33%,32.6,1.5,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",DSU,17.5,8.0,"1,2",DSU,50.2,8.3,"1,2",DSU,30.5,9.1,1,DSU,26.8,9.0,1,DSU,29.4,7.7,1,DSU,28.0,7.7,1,DSU,43.2,9.4,1,DSU,21.6,7.4,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",39%,39.3,1.9,"1,2",38%,37.9,2.0,"1,2",39%,39.5,1.9,1,33%,32.9,1.8,1,39%,39.5,1.9,1,37%,36.6,1.6,1,36%,36.1,1.7,1,33%,33.0,1.8,---,.,.,---,.,.,---,.,.
               Female,1,48%,48.0,2.2,1,42%,42.1,2.4,1,46%,45.9,2.3,1,37%,37.2,2.2,1,44%,44.0,2.1,1,42%,42.0,2.0,1,40%,40.0,1.9,1,38%,37.7,2.1,---,.,.,---,.,.,---,.,.
               Male,1,28%,28.0,2.2,1,30%,30.1,2.2,1,30%,30.1,2.2,1,30%,29.5,2.1,1,29%,29.4,2.2,1,31%,31.0,1.9,1,30%,30.3,2.1,1,28%,28.2,2.1,---,.,.,---,.,.,---,.,.
               Less than high school,1,40%,40.0,6.1,1,29%,28.9,5.0,1,24%,24.3,4.3,1,29%,29.4,5.1,1,35%,34.8,5.8,1,38%,38.4,5.3,1,33%,33.4,4.8,1,40%,39.8,6.3,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,DSU,40.2,12.1,1,DSU,23.2,8.5,1,DSU,25.8,7.8,1,24%,24.1,9.6,1,20%,20.1,6.4,1,DSU,59.3,7.7,1,DSU,13.1,3.9,1,DSU,35.8,11.8,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,45%,44.7,7.5,1,31%,31.2,5.9,1,20%,20.4,4.3,1,33%,32.7,6.3,1,38%,37.8,6.7,1,33%,32.6,5.1,1,42%,41.7,5.6,1,38%,38.2,6.8,---,.,.,---,.,.,---,.,.
               High school graduate,1,32%,31.8,2.9,1,31%,31.5,3.0,1,33%,32.6,2.7,1,27%,27.5,2.4,1,31%,30.6,2.6,1,33%,32.7,2.4,1,31%,30.9,2.7,1,26%,26.0,2.5,---,.,.,---,.,.,---,.,.
               At least some college,1,39%,39.2,2.3,1,38%,38.0,2.5,1,38%,38.0,2.2,1,36%,35.7,2.3,1,36%,36.4,2.1,1,35%,34.6,1.8,1,34%,34.3,1.8,1,33%,32.9,1.9,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,43%,42.7,3.4,1,45%,45.2,3.3,1,43%,42.7,3.1,1,39%,38.9,3.2,1,41%,40.7,3.0,1,39%,39.0,2.5,1,36%,36.3,2.6,1,34%,34.2,2.7,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.2,3.2,,DNC,.,.,1,28%,27.6,3.1,1,31%,30.7,3.5,1,28%,28.1,3.1,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.9,1.8,,DNC,.,.,1,38%,38.4,1.6,1,36%,36.2,1.6,1,35%,34.9,1.8,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,45%,44.6,2.3,1,42%,41.6,2.4,1,45%,44.6,2.6,1,36%,35.8,2.4,1,42%,41.9,2.5,1,42%,41.8,2.3,1,43%,42.6,2.5,1,39%,39.4,2.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,32%,31.6,2.3,1,31%,31.3,2.4,1,31%,31.5,2.3,1,33%,33.2,1.9,1,32%,31.9,2.0,1,33%,33.0,1.9,1,30%,29.7,1.9,1,26%,26.3,1.9,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,35%,34.7,4.4,1,33%,33.0,4.5,1,35%,35.4,3.8,1,29%,28.5,4.4,1,34%,34.5,3.8,1,32%,32.1,3.1,1,30%,30.1,3.1,1,32%,31.6,3.2,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,34%,34.4,4.7,1,24%,23.7,2.9,,DNC,.,.,1,29%,29.1,2.8,,DNC,.,.,1,DNC,22.1,2.3,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,41%,40.5,1.9,1,36%,35.6,1.9,,DNC,.,.,1,38%,38.0,1.7,,DNC,.,.,1,DNC,35.0,1.6,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,DSU,7.7,3.3,1,DSU,15.0,6.2,1,DSU,27.0,9.8,1,DSU,16.9,6.6,1,DSU,10.6,3.3,1,33%,33.2,7.6,1,DSU,7.6,2.8,1,28%,27.7,9.8,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,39%,38.7,1.7,1,37%,36.7,1.7,1,38%,38.2,1.6,1,34%,34.3,1.6,1,37%,37.4,1.6,1,37%,37.0,1.4,1,36%,36.5,1.5,1,34%,34.3,1.6,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,19%,19.4,2.7,,DNC,.,.,1,20%,20.5,2.9,,DNC,.,.,1,20%,19.9,2.6,,DNC,.,.,1,DNC,21.4,2.7,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,41%,40.8,2.1,,DNC,.,.,1,38%,37.5,1.8,,DNC,.,.,1,41%,40.5,1.6,,DNC,.,.,1,DNC,36.0,1.6,---,.,.,---,.,.,---,.,.
            STATE:Arizona,1,46%,45.6,1.7,1,43%,42.6,1.8,1,37%,36.7,1.6,1,37%,37.2,1.2,1,39%,39.1,1.4,1,37%,36.7,1.3,1,38%,38.4,1.4,1,36%,36.2,1.4,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,8.7,4.4,"1,2",DSU,30.7,7.5,"1,2",27%,26.9,6.5,1,18%,17.7,4.4,1,36%,36.4,5.4,1,43%,43.2,7.3,1,19%,19.3,3.8,1,16%,16.1,3.3,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,48.5,11.9,1,DSU,44.6,10.6,1,DSU,44.2,11.5,1,DSU,50.6,12.1,1,DSU,41.7,9.1,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,31.8,8.4,1,DSU,19.0,9.9,1,DSU,63.5,9.6,1,DSU,1.4,1.3,1,DSU,11.5,9.4,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",DSU,32.0,9.2,"1,2",DSU,42.1,9.7,"1,2",DSU,46.4,9.6,1,DSU,16.5,4.5,1,50%,49.7,8.5,1,37%,37.2,9.6,1,34%,33.7,7.7,1,DSU,22.7,6.9,---,.,.,---,.,.,---,.,.
               White only,"1,2",51%,51.2,1.8,"1,2",45%,45.4,2.0,"1,2",40%,40.5,1.9,1,41%,41.5,1.4,1,40%,40.1,1.6,1,39%,39.5,1.5,1,40%,40.2,1.7,1,39%,39.3,1.7,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,30.1,10.0,1,DSU,17.9,6.2,1,DSU,36.7,9.8,1,43%,42.8,11.7,1,DSU,24.8,6.6,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,45.3,11.9,1,DSU,15.8,8.5,1,DSU,42.6,15.4,1,DSU,14.3,7.7,1,DSU,13.6,5.5,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,60.5,33.8,1,DSU,0.0,0.0,1,DSU,37.7,14.4,1,DSU,90.4,7.9,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,31%,30.6,4.4,1,31%,31.3,3.8,1,23%,23.4,3.4,1,25%,24.6,2.7,1,34%,34.4,3.3,1,25%,25.2,2.7,1,30%,29.7,2.9,1,28%,28.3,2.8,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,50%,49.8,2.0,1,46%,46.3,2.1,1,41%,41.0,1.8,1,40%,39.9,1.4,1,40%,39.6,1.5,1,39%,39.3,1.5,1,41%,40.6,1.6,1,38%,37.7,1.6,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",DSU,35.8,11.0,"1,2",DSU,42.6,9.9,"1,2",DSU,48.3,9.8,1,DSU,16.8,4.7,1,50%,49.7,8.5,1,DSU,34.4,10.1,1,32%,32.1,7.5,1,DSU,22.7,7.8,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",52%,51.8,1.9,"1,2",46%,45.6,2.1,"1,2",42%,41.7,2.0,1,42%,42.3,1.5,1,39%,39.5,1.6,1,40%,40.0,1.6,1,42%,41.6,1.7,1,39%,39.4,1.8,---,.,.,---,.,.,---,.,.
               Female,1,57%,56.7,2.6,1,57%,57.3,2.3,1,44%,44.1,2.4,1,43%,43.2,1.7,1,48%,48.4,1.7,1,43%,42.9,1.7,1,46%,46.5,1.7,1,43%,43.5,1.8,---,.,.,---,.,.,---,.,.
               Male,1,34%,34.3,2.3,1,28%,27.7,2.2,1,29%,29.1,2.2,1,31%,31.1,1.8,1,30%,30.0,1.9,1,31%,30.5,1.9,1,30%,30.2,2.1,1,29%,28.9,2.2,---,.,.,---,.,.,---,.,.
               Less than high school,1,26%,25.6,4.8,1,37%,36.5,5.6,1,22%,21.9,4.3,1,26%,26.5,3.8,1,39%,38.8,5.2,1,27%,27.3,3.8,1,29%,29.4,3.8,1,32%,31.5,4.3,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,27%,26.7,6.7,1,38%,37.9,7.0,1,18%,17.6,5.3,1,20%,19.7,5.0,1,31%,31.1,8.2,1,22%,22.4,6.2,1,22%,22.2,5.1,1,22%,22.1,5.7,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,23%,23.3,4.7,1,35%,34.7,7.1,1,27%,26.8,6.1,1,31%,31.3,5.5,1,44%,43.8,6.2,1,31%,30.8,4.6,1,35%,35.4,5.1,1,36%,36.0,5.5,---,.,.,---,.,.,---,.,.
               High school graduate,1,48%,47.8,2.5,1,43%,42.6,3.1,1,37%,37.3,3.4,1,35%,34.7,2.4,1,33%,33.1,2.7,1,32%,31.9,2.7,1,34%,34.1,2.6,1,31%,31.0,2.8,---,.,.,---,.,.,---,.,.
               At least some college,1,49%,48.9,2.5,1,42%,42.1,2.4,1,38%,38.2,2.1,1,38%,38.4,1.6,1,40%,40.2,1.7,1,38%,37.7,1.5,1,39%,38.9,1.7,1,37%,36.9,1.7,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,47%,47.4,3.9,1,36%,36.0,3.5,1,37%,37.0,2.9,1,42%,42.1,2.3,1,42%,42.3,2.3,1,40%,39.9,2.1,1,41%,41.2,2.3,1,40%,39.5,2.3,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.4,2.4,1,38%,38.0,3.6,1,32%,31.9,3.1,1,28%,27.6,3.2,1,32%,32.4,3.4,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,40%,39.6,1.4,1,40%,39.7,1.5,1,38%,38.1,1.5,1,40%,40.4,1.6,1,37%,37.1,1.6,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,50%,49.6,2.9,1,43%,42.8,3.1,1,38%,38.4,2.7,1,42%,42.4,2.1,1,44%,44.1,2.6,1,42%,42.1,2.5,1,42%,41.9,2.7,1,42%,41.6,3.0,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,40%,39.7,3.1,1,39%,38.9,2.9,1,35%,34.6,2.8,1,31%,30.6,2.0,1,34%,34.4,2.1,1,33%,32.7,1.9,1,34%,34.1,2.0,1,34%,33.7,2.0,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,48%,48.2,2.9,1,48%,48.1,3.0,1,37%,37.3,2.8,1,39%,38.8,2.2,1,38%,38.1,2.0,1,34%,34.1,1.9,1,39%,39.3,2.0,1,31%,30.9,1.7,---,.,.,---,.,.,---,.,.
               Persons with arthritis,1,42%,42.3,5.5,,DNC,.,.,1,37%,37.3,5.1,1,32%,31.8,3.4,1,34%,34.2,3.5,1,32%,32.2,3.1,1,31%,30.9,2.9,1,DNC,34.5,4.2,---,.,.,---,.,.,---,.,.
               Persons without arthritis,1,47%,46.5,1.9,,DNC,.,.,1,38%,37.8,1.8,1,39%,38.9,1.4,1,41%,40.7,1.6,1,38%,38.4,1.5,1,40%,40.4,1.7,1,DNC,40.7,1.6,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,DSU,20.1,7.5,1,24%,23.7,6.6,1,DSU,6.1,2.3,1,19%,19.5,4.6,1,26%,25.6,6.9,1,25%,24.5,8.8,1,11%,11.4,2.4,1,21%,21.4,9.2,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,46%,46.1,1.8,1,44%,43.6,1.8,1,39%,38.6,1.7,1,38%,38.4,1.3,1,40%,40.4,1.4,1,38%,37.7,1.3,1,40%,40.1,1.4,1,38%,38.1,1.5,---,.,.,---,.,.,---,.,.
