Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Persons without disabilities,,DNC,.,.,1,20%,19.8,4.7,,DNC,.,.,,DNC,.,.,1,23%,22.6,4.1,,DNC,.,.,1,20%,19.6,4.3,,DNC,.,.,1,DSU,39.3,12.3,---,.,.,---,.,.
            STATE:Alaska,,DNC,.,.,"2,1",DSU,58.6,10.7,,DNC,.,.,,DNC,.,.,1,DSU,40.9,12.9,,DNC,.,.,1,DSU,33.4,10.1,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,7.9,9.5,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,36.5,32.8,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,24.3,26.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,44.9,29.5,,DNC,.,.,1,18%,18.0,4.4,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",DSU,11.5,4.7,,DNC,.,.,,DNC,.,.,1,17%,16.7,4.3,,DNC,.,.,1,18%,18.3,5.1,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,68.0,20.0,,DNC,.,.,1,DSU,19.7,16.5,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.7,23.3,,DNC,.,.,1,DSU,34.0,26.1,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,24%,23.9,4.4,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,21%,20.9,4.9,,DNC,.,.,,DNC,.,.,1,23%,22.8,4.1,,DNC,.,.,1,21%,20.6,4.5,,DNC,.,.,1,DSU,24.3,26.0,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,44.9,29.5,,DNC,.,.,1,18%,18.1,4.4,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,11.5,4.7,,DNC,.,.,,DNC,.,.,1,17%,16.8,4.4,,DNC,.,.,1,19%,18.5,5.2,,DNC,.,.,1,24%,24.2,5.6,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,DSU,22.6,7.3,,DNC,.,.,,DNC,.,.,1,20%,19.9,5.0,,DNC,.,.,1,15%,14.6,4.2,,DNC,.,.,1,DSU,22.5,6.8,---,.,.,---,.,.
               Female,,DNC,.,.,1,DSU,16.6,5.9,,DNC,.,.,,DNC,.,.,1,25%,25.2,6.4,,DNC,.,.,1,DSU,25.3,7.6,,DNC,.,.,1,DSU,54.9,11.6,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,34.8,11.2,,DNC,.,.,,DNC,.,.,1,36%,35.8,9.7,,DNC,.,.,1,DSU,34.5,11.5,,DNC,.,.,1,34%,34.0,9.7,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,DSU,35.5,10.8,,DNC,.,.,,DNC,.,.,1,31%,30.8,8.1,,DNC,.,.,1,DSU,24.6,9.2,,DNC,.,.,1,DSU,11.6,3.7,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,8.3,5.4,,DNC,.,.,,DNC,.,.,1,DSU,10.0,4.1,,DNC,.,.,1,DSU,14.0,5.4,,DNC,.,.,1,26%,26.4,6.4,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,24.7,7.7,,DNC,.,.,1,22%,21.7,5.8,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,17.9,5.3,,DNC,.,.,1,13%,13.2,1.8,---,.,.,---,.,.
               Persons without disabilities,1,13%,13.1,2.6,1,14%,14.3,3.2,1,22%,21.9,3.4,1,12%,11.8,1.9,1,14%,14.1,2.4,,DNC,.,.,1,16%,15.8,2.4,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
            STATE:Arizona,"2,1",DSU,0.0,0.0,"2,1",DSU,0.0,0.0,"2,1",DSU,16.8,16.0,1,DSU,0.0,0.0,1,DSU,28.9,19.4,,DNC,.,.,1,DSU,53.9,20.4,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,36.3,24.0,,DNC,.,.,1,DSU,0.7,0.9,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,9.4,11.6,,DNC,.,.,1,DSU,9.9,10.1,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,5.0,5.2,1,DSU,21.9,18.4,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,14%,13.9,2.0,---,.,.,---,.,.
               Black or African American only,"2,1",14%,13.9,2.8,"2,1",14%,13.9,3.3,"2,1",21%,20.6,3.6,1,12%,12.1,2.0,1,14%,14.2,2.4,,DNC,.,.,1,15%,14.8,2.6,,DNC,.,.,1,DSU,28.2,22.1,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.6,23.7,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,22.4,12.8,,DNC,.,.,1,DSU,39.1,26.8,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.6,23.7,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,23.0,16.1,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,7.5,3.6,---,.,.,---,.,.
                  Black or African American; White,1,DSU,8.7,4.6,1,DSU,17.0,9.8,1,DSU,32.6,11.0,1,DSU,26.5,9.1,1,DSU,4.4,2.5,,DNC,.,.,1,DSU,18.3,6.8,,DNC,.,.,1,14%,13.7,2.0,---,.,.,---,.,.
               Hispanic or Latino,1,14%,13.8,2.9,1,14%,14.0,3.4,1,21%,21.0,3.6,1,11%,10.7,1.9,1,15%,14.7,2.5,,DNC,.,.,1,15%,15.2,2.6,,DNC,.,.,1,DSU,9.9,10.1,---,.,.,---,.,.
               Not Hispanic or Latino,"2,1",DSU,0.0,0.0,"2,1",DSU,9.0,8.4,"2,1",DSU,100.0,0.0,1,DSU,5.0,5.2,1,DSU,21.9,18.4,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,14%,13.9,2.1,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",13%,13.1,2.8,"2,1",14%,14.3,3.5,"2,1",20%,20.4,3.6,1,11%,10.7,2.0,1,15%,14.6,2.5,,DNC,.,.,1,15%,14.6,2.6,,DNC,.,.,1,17%,16.8,2.9,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",1,8%,7.6,1.9,1,14%,13.9,4.0,1,24%,23.7,4.7,1,11%,10.8,2.2,1,13%,13.5,3.1,,DNC,.,.,1,16%,15.6,3.2,,DNC,.,.,1,9%,9.3,2.1,---,.,.,---,.,.
               Female,1,21%,21.1,5.6,1,DSU,14.7,5.1,1,20%,19.7,4.9,1,13%,13.0,3.2,1,15%,14.9,3.6,,DNC,.,.,1,16%,16.0,3.7,,DNC,.,.,1,DSU,20.1,6.5,---,.,.,---,.,.
               Male,1,DSU,12.3,5.8,1,DSU,18.4,7.0,1,DSU,34.8,10.9,1,DSU,29.9,7.9,1,DSU,43.2,11.2,,DNC,.,.,1,49%,48.8,11.2,,DNC,.,.,1,24%,23.6,4.9,---,.,.,---,.,.
               Less than high school,1,16%,15.7,3.8,1,DSU,20.1,6.3,1,26%,25.6,6.3,1,10%,10.2,2.8,1,20%,19.7,5.3,,DNC,.,.,1,17%,17.3,4.1,,DNC,.,.,1,8%,8.0,1.7,---,.,.,---,.,.
               High school graduate,1,DSU,10.2,4.5,1,DSU,9.1,4.1,1,16%,16.1,4.5,1,9%,8.9,2.4,1,9%,8.7,2.3,,DNC,.,.,1,9%,9.5,2.2,,DNC,.,.,1,18%,18.1,4.0,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,12%,11.8,3.1,1,19%,18.9,5.0,,DNC,.,.,1,18%,17.9,4.5,,DNC,.,.,1,11%,11.0,2.0,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,12%,11.9,2.4,1,13%,12.6,2.6,,DNC,.,.,1,15%,14.9,2.9,,DNC,.,.,1,19%,19.2,1.4,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,27%,27.0,2.6,,DNC,.,.,,DNC,.,.,1,26%,25.9,2.0,,DNC,.,.,1,22%,21.8,1.9,,DNC,.,.,1,DSU,12.4,11.9,---,.,.,---,.,.
            STATE:Arkansas,,DNC,.,.,"2,1",DSU,41.7,29.1,,DNC,.,.,,DNC,.,.,1,DSU,42.3,16.0,,DNC,.,.,1,DSU,17.7,12.5,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.2,7.5,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.8,8.3,,DNC,.,.,1,DSU,26.2,7.9,,DNC,.,.,1,18%,18.3,1.4,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",26%,25.9,2.7,,DNC,.,.,,DNC,.,.,1,26%,25.9,2.1,,DNC,.,.,1,20%,20.2,2.0,,DNC,.,.,1,DSU,29.2,11.7,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.3,11.1,,DNC,.,.,1,DSU,49.0,16.6,,DNC,.,.,1,DSU,32.5,12.9,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,15.0,10.6,,DNC,.,.,1,DSU,58.4,17.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,18.3,9.5,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,28.5,24.1,,DNC,.,.,,DNC,.,.,1,DSU,21.4,15.4,,DNC,.,.,1,DSU,42.8,17.5,,DNC,.,.,1,19%,19.3,1.4,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,27%,26.9,2.6,,DNC,.,.,,DNC,.,.,1,26%,26.1,2.1,,DNC,.,.,1,21%,21.4,2.0,,DNC,.,.,1,35%,34.8,7.9,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,34.9,9.3,,DNC,.,.,,DNC,.,.,1,DSU,29.6,8.9,,DNC,.,.,1,DSU,23.2,7.9,,DNC,.,.,1,18%,18.2,1.5,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",26%,25.9,2.7,,DNC,.,.,,DNC,.,.,1,26%,26.1,2.2,,DNC,.,.,1,20%,20.4,2.0,,DNC,.,.,1,20%,19.7,1.8,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,29%,29.0,3.2,,DNC,.,.,,DNC,.,.,1,26%,26.3,2.6,,DNC,.,.,1,20%,20.4,2.2,,DNC,.,.,1,19%,18.6,2.3,---,.,.,---,.,.
               Female,,DNC,.,.,1,25%,24.6,4.2,,DNC,.,.,,DNC,.,.,1,25%,25.5,3.2,,DNC,.,.,1,23%,23.3,3.3,,DNC,.,.,1,39%,39.1,4.4,---,.,.,---,.,.
               Male,,DNC,.,.,1,45%,45.1,5.8,,DNC,.,.,,DNC,.,.,1,45%,44.8,4.8,,DNC,.,.,1,35%,35.5,4.8,,DNC,.,.,1,21%,21.5,2.4,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,28%,28.5,4.6,,DNC,.,.,,DNC,.,.,1,26%,26.0,3.2,,DNC,.,.,1,24%,24.2,3.4,,DNC,.,.,1,10%,10.3,1.7,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,14%,14.2,3.3,,DNC,.,.,,DNC,.,.,1,13%,13.1,2.5,,DNC,.,.,1,13%,13.4,2.4,,DNC,.,.,1,22%,21.7,2.5,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.3,4.0,,DNC,.,.,1,18%,17.9,1.8,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,17.7,2.1,,DNC,.,.,1,13%,13.3,1.9,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,17%,16.9,2.3,1,18%,17.5,2.9,,DNC,.,.,1,12%,12.2,1.9,,DNC,.,.,1,10%,10.0,1.9,,DNC,.,.,1,DSU,26.4,13.2,---,.,.,---,.,.
            STATE:California,,DNC,.,.,"2,1",DSU,0.0,0.0,"2,1",DSU,100.0,0.0,,DNC,.,.,1,DSU,55.4,30.5,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,11.2,10.6,"2,1",DSU,32.3,17.9,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,10.5,10.0,,DNC,.,.,1,DSU,8.1,6.2,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,22.8,8.9,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,14.1,8.2,,DNC,.,.,1,DSU,1.2,1.2,,DNC,.,.,1,13%,13.2,2.1,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",17%,17.0,2.4,"2,1",17%,17.0,3.0,,DNC,.,.,1,12%,12.0,2.1,,DNC,.,.,1,11%,10.8,2.2,,DNC,.,.,1,DSU,4.4,4.4,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,30.4,24.0,,DNC,.,.,1,DSU,12.2,12.3,,DNC,.,.,1,DSU,13.7,12.5,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.1,26.8,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,20.3,5.8,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,12.6,4.6,1,DSU,27.5,8.6,,DNC,.,.,1,DSU,9.6,5.3,,DNC,.,.,1,DSU,11.1,5.1,,DNC,.,.,1,11%,11.4,1.7,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,18%,18.3,2.6,1,15%,14.7,2.8,,DNC,.,.,1,13%,12.8,2.1,,DNC,.,.,1,10%,9.6,2.0,,DNC,.,.,1,DSU,22.6,9.3,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,30.4,11.0,"2,1",DSU,15.3,12.7,,DNC,.,.,1,DSU,14.7,8.6,,DNC,.,.,1,DSU,1.2,1.2,,DNC,.,.,1,11%,10.7,1.7,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",18%,18.2,2.8,"2,1",12%,12.2,2.4,,DNC,.,.,1,13%,12.7,2.2,,DNC,.,.,1,10%,10.4,2.2,,DNC,.,.,1,15%,15.0,2.8,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,19%,19.3,3.2,1,19%,18.7,3.8,,DNC,.,.,1,12%,12.3,2.6,,DNC,.,.,1,9%,8.8,2.2,,DNC,.,.,1,11%,11.2,2.4,---,.,.,---,.,.
               Female,,DNC,.,.,1,14%,14.2,3.1,1,16%,15.6,4.5,,DNC,.,.,1,12%,12.1,3.0,,DNC,.,.,1,11%,11.4,3.4,,DNC,.,.,1,31%,31.2,7.9,---,.,.,---,.,.
               Male,,DNC,.,.,1,22%,22.1,6.0,1,DSU,24.8,8.7,,DNC,.,.,1,DSU,23.3,6.8,,DNC,.,.,1,DSU,25.5,8.8,,DNC,.,.,1,17%,17.5,3.8,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,23%,22.9,4.8,1,22%,21.8,5.6,,DNC,.,.,1,23%,22.8,5.0,,DNC,.,.,1,DSU,14.5,4.7,,DNC,.,.,1,7%,7.3,1.6,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,12%,11.8,2.6,1,13%,13.1,3.5,,DNC,.,.,1,DSU,4.3,1.4,,DNC,.,.,1,DSU,5.1,1.6,,DNC,.,.,1,20%,20.1,3.7,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.7,3.3,,DNC,.,.,1,DSU,13.1,4.6,,DNC,.,.,1,9%,9.3,1.9,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.6,2.5,,DNC,.,.,1,9%,9.3,2.1,,DNC,.,.,1,11%,11.0,1.3,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,17%,16.5,3.1,,DNC,.,.,,DNC,.,.,1,15%,14.7,2.0,,DNC,.,.,1,15%,15.4,1.8,,DNC,.,.,1,DSU,26.7,15.1,---,.,.,---,.,.
            STATE:Colorado,,DNC,.,.,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,13.9,12.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
