Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,72%,72.3,3.52,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Arizona,,DNA,.,.,,---,.,.,,---,.,.,,68%,68.1,2.19,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,68%,67.6,3.16,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,70%,69.7,3.21,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Arkansas,,DNA,.,.,,---,.,.,,---,.,.,,69%,69.1,2.50,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,68%,68.3,3.06,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:California,,DNA,.,.,,---,.,.,,---,.,.,,73%,72.6,1.89,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,76%,76.1,2.35,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,66%,66.1,3.62,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Colorado,,DNA,.,.,,---,.,.,,---,.,.,,72%,71.5,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,70%,70.3,4.64,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,73%,72.7,3.06,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Connecticut,,DNA,.,.,,---,.,.,,---,.,.,,78%,78.4,2.86,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,83%,83.1,2.76,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Delaware,,DNA,.,.,,---,.,.,,---,.,.,,75%,74.9,2.76,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,77%,76.6,3.32,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:District of Columbia,,DNA,.,.,,---,.,.,,---,.,.,,69%,68.9,3.01,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,84%,84.3,4.69,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,64%,63.8,4.13,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Florida,,DNA,.,.,,---,.,.,,---,.,.,,73%,73.0,2.30,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,77%,77.1,3.62,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,74%,73.7,3.06,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Georgia,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.5,2.24,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,76%,76.0,3.98,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,81%,81.0,3.06,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Hawaii,,DNA,.,.,,---,.,.,,---,.,.,,71%,70.8,3.42,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,81%,80.6,3.16,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Idaho,,DNA,.,.,,---,.,.,,---,.,.,,70%,70.2,2.76,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,71%,70.8,2.96,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Illinois,,DNA,.,.,,---,.,.,,---,.,.,,73%,72.7,2.14,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,63%,62.5,4.69,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,78%,77.5,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Indiana,,DNA,.,.,,---,.,.,,---,.,.,,71%,71.1,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,73%,72.6,2.76,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Iowa,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.6,2.60,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,81%,81.0,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Kansas,,DNA,.,.,,---,.,.,,---,.,.,,73%,72.8,3.57,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,75%,74.6,3.57,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Kentucky,,DNA,.,.,,---,.,.,,---,.,.,,76%,75.9,2.55,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,76%,76.0,2.76,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Louisiana,,DNA,.,.,,---,.,.,,---,.,.,,64%,64.1,3.01,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,63%,62.9,4.64,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,65%,64.7,4.23,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Maine,,DNA,.,.,,---,.,.,,---,.,.,,75%,75.1,2.60,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,75%,74.6,2.70,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Maryland,,DNA,.,.,,---,.,.,,---,.,.,,73%,73.4,2.24,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,68%,68.3,4.13,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,75%,74.8,2.96,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Massachusetts,,DNA,.,.,,---,.,.,,---,.,.,,77%,76.6,2.40,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,79%,79.2,2.70,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Michigan,,DNA,.,.,,---,.,.,,---,.,.,,70%,70.0,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,73%,72.7,3.21,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
